id	中文	韩文
1	系统后台邮件	시스템 백그라운드 메일
2	限时神将活动结算	신장뽑기 이벤트 결산
3	感谢主公参与了本次活动，以下是您在在本次活动中获得的奖品	주공님, 이번 이벤트 참여해주셔서 감사드립니다. 이번 이벤트에서 획득하신 상품은 다음과 같습니다.
4	客服回复问题编号	고객센터 문제 응답 코드
5	欢迎使用兑换码	쿠폰 보상 드립니다~!
6	请领取兑换码大礼包	교환 코드 선물상자를 수령하십시오.
7	系统错误	시스템 오류
8	兑换码已使用	이 교환 코드는 이미 사용되었습니다.
9	兑换码错误	교환 코드 오류
10	兑换码已过期	교환 코드 사용기간이 만료되었습니다.
11	同种类型的兑换码每个玩家只能使用一次喔	같은 종류의 교환 코드는 플레이어 한 명 당 한 번만 사용할 수 있습니다.
12	月卡福利	월 카드 혜택
13	月卡福利来啦，祝主公早日一统天下	월 카드 혜택이 도착했습니다. 주공의 조속한 천하통일을 기원합니다. 
14	每日经验卡已到	매일매일 보너스카드!
15	今日有护军教头前来投奔，此将能征惯战可获取大量经验，请主公速去武将处招纳	오늘의 보너스카드가 도착하였습니다! 수령하셔서 무장 육성에 활용해 보세요!
16	十连抽返980元宝	10연속뽑기 환급안내
17	为鼓励大家招兵买马，所有玩家每天第一次10连抽均返现%s元宝，祝大家早日抽得五星神将！还不速去招募处一试手气？	군주님들의 전쟁 준비를 격려하기 위해 매일 첫 10회 연속 뽑기 시 %s원보를 돌려 드립니다. 10회 연속 뽑기 시 5성 무장을 획득 가능합니다!
18	新手豪礼第一波	새로운 가입자를 위한 호화로운 선물 제1탄
19	主公，初出茅庐，没钱怎么招兵买马。还好有新手豪礼，可助您一臂之力。	주공, 첫 출사이신데 군자금도 없이 어떻게 전쟁 준비를 하시려고 하십니까. 다행히 새로운 가입자께만 드리는 호화로운 선물이 있어 미약한 힘이나마 보태드립니다.
20	测试大礼包	테스트 종합 선물 세트
21	天梯结算	천계 결산
22	您在天梯中的名次为%s,天梯奖品会在每天21点按时发放	현재 천계에서의 순위는 %s위입니다. 상품은 매일 저녁 9시에 지급됩니다.
23	天梯争霸结算	천계쟁탈전 결산
24	恭喜主公，您在本次活动中的排名为%s,以下是您取得的奖品	축하드립니다, 주공. 이번 이벤트에서의 순위는 %s위이며 획득한 상품은 다음과 같습니다.
25	血战洛阳元宝结算	낙양 혈전 원보 결산
26	这是你应得的，勇士。收下它吧，希望能助你一统天下！	주공께서 혈전에서 세우신 공적에 대한 보상입니다! 천하 통일에 도움이 되시기를 바랍니다!
27	《这不是那三国》补偿奖励	《신장쟁패》보상아이템
28	亲爱的主公，《这不是那三国》由于游戏Bug影响到您的游戏体验，我们深表歉意! 我们决定补偿您大量元宝。并在Bug解决后进行更丰富的奖励，感谢一直支持的您!	《신장쟁패》의 게임 문제로 인해, 사용자 분들의 게임 플레이에 영향을 끼쳐드려 죄송합니다. 이에 대한 보상으로 원보를 보너스로 지급해 드리며, 이후 문제가 해결된 이후 보다 만족스러운 보상을 지원하도록 하겠습니다. <신장쟁패>에 대한 관심에 항상 감사드립니다.
29	天梯奖励	천계 보상
30	每日完成2次天梯战斗可获50元宝	매일 천계 전투를 두 차례 완료하면 50원보를 획득할 수 있습니다.
31	今日任务完成	오늘 임무 완수
32	今日完成普通关卡战斗20次，送体力值60	매일 일반 관문 전투 20회 완료시, 활력 60 제공
33	今日完成精英关卡战斗10次，送体力值40	매일 정예 관문 전투 10회 완료시, 활력 40 제공
34	今日进行团队副本2次，送元宝20	매일 길드 던전 10회 완료시, 원보 20 제공
35	午餐到啦	점심 시간 보너스!
36	晚餐到啦	저녁 시간 보너스!
37	宵夜到啦	야식 시간이에요~!
38	赠送150点体力请主公笑纳	주공~! 150활력을 받았습니다. 
39	赠送150点体力请主公笑纳	주공~! 150활력을 받았습니다. 
40	会长物品分配	길드장 물품 분배
41	恭喜你获得会长分配的团队副本战利品。	길드장이 분배한 길드 던전 전리품 획득을 축하드립니다.
42	会长分配了一次团队副本战利品。	길드장이 길드 던전 전리품을 한 번 분배했습니다.
43	物品申请补偿	전리품 순서 변경
44	您在申请团队副本物品时，有玩家占据了您的位置，系统自动补偿您丰厚的金币。	길드 던전 전리품 대기열에서 다른 길드원이 새치기하여 보상금을 지급받았습니다.
45	公会系统物品分配	길드 시스템 물품 분배
46	恭喜你获得团队副本战利品。	길드 던전 전리품 획득을 축하드립니다.
47	加入公会奖励	길드 가입 보상
48	主公，你已加入公会，特赠100元宝，请笑纳！	주공, 길드 가입 보상으로 100 원보를 증정해 드립니다. 수령을 부탁드립니다!
49	公会活动奖励	길드 이벤트 보상
50	经过艰苦奋斗，您的公会通关了第一关团队副本，特此奖励。	귀하의 길드는 고군분투 끝에 드디어 길드 던전 제1관을 통과했습니다. 보상을 수령해주십시오.
51	恭喜 %s 公会在活动期间通过了团队副本，奖励通过邮件发送。	%s 길드의 이벤트 기간 중 길드 던전 통과를 축하드립니다. 보상은 우편을 통해 발송됩니다.
52	加入公会。	길드가입
53	创建了公会。	길드를 생성하였습니다.
54	会长	회장
55	更改了公会设置。	길드 설정을 변경했습니다.
56	发送了全体邮件。	전체 메일을 발송했습니다.
57	更改了公告。	공지를 수정했습니다.
58	批准	허가
59	职位变更为会长。	직위가 회장으로 변경되었습니다.
60	职位变更为长老。	직위가 장로로 변경되었습니다.
61	职位变更为成员。	직위가 구성원으로 변경되었습니다.
62	%s被%s踢出公会。	%s이(가)%s에 의해 길드에서 축출되었습니다.
63	离开公会。	길드탈퇴
64	开启了团队副本第 %s 章	길드 던전 제%s장을 개방하였습니다.
